time,CH0,CH1,CH2,CH3
2,-1.482500792,-10.13632202,-5.924919128,-0.951443791
2.00390625,0.809831858,7.037126064,0.434959829,-0.700405717
2.0078125,1.831521273,14.56250763,4.468381882,0.244123638
2.01171875,1.353366852,2.538500547,2.190059423,2.362670898
2.015625,-0.190523759,-8.371917725,-2.04266715,5.176877975
2.01953125,-3.736126661,-6.600748539,-5.90978241,4.488052845
2.0234375,-7.047128677,-7.251636982,-8.100927353,-0.875047266
2.02734375,-7.913567543,-13.43916702,-4.656916142,-4.376029491
2.03125,-10.04393578,-11.33263493,3.02748394,-0.710091233
2.03515625,-9.486489296,-2.148581505,5.153874874,5.041176796
2.0390625,2.922768831,4.474754333,-0.077176839,6.655079842
2.04296875,17.30086327,9.775472641,0.028545914,6.179550171
2.046875,18.98401451,12.05006886,8.92053318,7.09888792
2.05078125,13.24655533,7.803086758,12.71186829,10.43754482
2.0546875,10.55976868,7.883263588,5.261796474,16.00486565
2.05859375,11.30538559,17.08207321,-0.756142735,19.46872711
2.0625,11.30279922,20.40172768,4.325366497,16.33512878
2.06640625,10.65323448,9.719428062,10.91925335,8.702424049
2.0703125,13.09193993,-2.575666666,11.62342453,2.230346203
2.07421875,13.84129047,-5.367209911,14.87363148,0.460838288
2.078125,5.647954941,-2.445556402,21.35025597,2.64102602
2.08203125,-3.403574705,1.865375519,19.71179199,6.770222664
2.0859375,-4.735869408,5.842607498,10.87175846,10.94885921
2.08984375,-3.572814941,4.542078018,8.588235855,10.59795761
2.09375,-2.089904547,1.47522819,16.50865364,5.602736473
2.09765625,2.563054323,5.063514233,23.63682938,2.321702719
2.1015625,6.591743946,10.10913372,21.42113304,2.030572653
2.10546875,4.274987221,5.930796146,13.76552963,3.304775715
2.109375,-2.839716673,-2.464489222,10.16761303,7.802975655
2.11328125,-6.554305553,-2.655823469,13.43196583,11.61083984
2.1171875,-5.703665733,-0.750472248,18.11929893,8.809340477
2.12109375,-7.540306568,-8.266724586,17.7999115,4.844097137
2.125,-9.792187691,-12.79360199,11.16236305,6.907447815
2.12890625,-5.144716263,-0.698260844,4.40034914,10.49905872
2.1328125,4.310497761,14.74357033,4.546591759,10.71452808
2.13671875,12.93451214,16.75581741,10.35928726,10.44172668
2.140625,14.95311928,7.7648592,13.30188179,10.14560699
2.14453125,10.43413067,1.059222221,9.671753883,6.966775894
2.1484375,11.3229332,7.570012569,5.490659237,3.910614729
2.15234375,20.22929573,23.83131599,2.738591194,6.059271336
2.15625,23.63307571,32.01139832,-2.292722225,10.70020008
2.16015625,17.28992081,23.84336662,-5.683495045,12.38956451
2.1640625,11.23073769,13.73367119,-3.197091341,12.47769547
2.16796875,11.68252754,13.7491045,-0.567886889,14.73878288
2.171875,15.63607693,14.82447147,-2.119166613,16.66831017
2.17578125,20.21193886,11.47803307,-4.877261162,12.36917496
2.1796875,24.97134209,16.00907516,-4.807334423,5.525049686
2.18359375,28.71631432,29.20542336,-0.135882139,5.887766838
2.1875,30.3561058,34.25671005,4.809811592,10.8032999
2.19140625,25.5600338,26.45127869,3.319792271,10.17778301
2.1953125,13.16645527,15.09684944,-3.278173923,3.724787235
2.19921875,5.998619556,7.203455448,-8.36558342,-0.268068671
2.203125,13.90220165,6.59235096,-9.627755165,3.393954992
2.20703125,25.31580162,10.91261387,-8.294313431,9.359806061
2.2109375,24.27277756,12.46947098,-4.429756165,8.704006195
2.21484375,15.08086681,11.30134869,-0.878665149,4.293267727
2.21875,13.38014126,13.2813015,-2.438344955,5.586441994
2.22265625,19.49308205,19.16352272,-6.753339767,9.624497414
2.2265625,21.04409981,24.39390182,-8.728048325,6.804294109
2.23046875,15.86018085,23.41380692,-7.894564629,-0.384574175
2.234375,12.53202724,16.71907616,-5.941296101,-1.844915032
2.23828125,14.81860542,11.30488014,-4.905452728,2.676471233
2.2421875,16.77363586,10.03877258,-5.8143363,3.929879665
2.24609375,12.04428101,9.703255653,-7.349555492,-0.50895083
2.25,3.448697567,7.023524761,-5.981314659,-3.502397776
2.25390625,-0.519755602,2.055347919,-1.787900209,-2.099224091
2.2578125,3.179828167,-2.273311138,-0.306713492,-0.448180646
2.26171875,7.699307442,-4.155334949,-1.204086065,-1.412811399
2.265625,6.538532734,-1.074878097,-1.118909121,-5.145256042
2.26953125,3.267973661,7.784851074,-3.175423861,-9.655656815
2.2734375,2.816650152,14.39879131,-5.744926453,-11.30738926
2.27734375,1.481381178,10.76192284,-2.22087574,-10.41359615
2.28125,-3.320088625,-0.023589632,2.872031689,-10.10254669
2.28515625,-3.642216682,-6.767972469,1.569867611,-9.996642113
2.2890625,3.085649967,-4.210745811,-2.811774969,-7.894210815
2.29296875,5.318689346,-0.465999931,-3.684151649,-5.385120392
2.296875,-1.621389031,-3.236769438,-1.310821772,-6.173435211
2.30078125,-7.836959839,-8.643908501,0.322985828,-7.776996613
2.3046875,-7.431270123,-10.34604454,0.17901957,-5.286242962
